credit_history,credit_amount,savings_status,employment,installment_commitment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
existing paid,1203.0,100<=X<500,7,3.0,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,700.0,no known savings,7,4.0,none,4,no known property,36,none,for free,2,skilled,1,none,yes,1
critical/other existing credit,5507.0,<100,7,3.0,none,4,no known property,44,none,for free,2,skilled,1,none,yes,1
existing paid,3190.0,<100,2,2.0,none,2,real estate,24,none,own,1,skilled,1,none,yes,0
no credits/all paid,7119.0,<100,2,3.0,none,4,no known property,53,none,for free,2,skilled,2,none,yes,0
existing paid,3488.0,100<=X<500,5,3.0,none,4,car,23,none,own,1,skilled,1,none,yes,1
existing paid,1113.0,<100,2,4.0,guarantor,4,real estate,26,none,own,1,unskilled resident,2,none,yes,1
existing paid,7966.0,<100,0,2.0,none,3,car,30,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1532.0,100<=X<500,2,4.0,none,3,car,31,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1503.0,<100,5,2.0,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,1
existing paid,2302.0,<100,2,4.0,none,4,car,31,none,rent,1,skilled,1,none,yes,0
existing paid,662.0,<100,0,3.0,none,4,real estate,41,none,own,1,unskilled resident,2,yes,yes,1
existing paid,2273.0,<100,5,3.0,none,1,car,32,none,own,2,skilled,2,none,yes,1
existing paid,2631.0,100<=X<500,2,2.0,none,4,car,28,none,rent,2,skilled,1,yes,yes,0
delayed previously,1503.0,<100,2,4.0,none,4,real estate,41,none,rent,1,skilled,1,none,yes,1
existing paid,1311.0,100<=X<500,5,4.0,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,1
existing paid,3105.0,no known savings,0,4.0,none,2,car,25,none,own,2,skilled,1,none,yes,1
critical/other existing credit,2319.0,<100,0,2.0,none,1,car,33,none,rent,1,skilled,1,none,yes,0
existing paid,1374.0,no known savings,0,4.0,none,3,life insurance,75,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3612.0,<100,7,3.0,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,1
existing paid,7763.0,<100,7,4.0,none,4,no known property,42,bank,for free,1,high qualif/self emp/mgmt,1,none,yes,0
existing paid,3049.0,<100,0,1.0,none,1,life insurance,45,stores,own,1,unskilled resident,1,none,yes,1
existing paid,1534.0,<100,0,1.0,none,1,real estate,23,none,rent,1,skilled,1,none,yes,0
delayed previously,2032.0,<100,7,4.0,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,1
existing paid,6350.0,no known savings,7,4.0,none,4,life insurance,31,none,own,1,skilled,1,none,yes,0
existing paid,2864.0,<100,2,2.0,none,1,real estate,34,none,own,1,unskilled resident,2,none,yes,0
critical/other existing credit,1255.0,<100,7,4.0,none,4,real estate,61,none,own,2,unskilled resident,1,none,yes,1
delayed previously,1333.0,<100,0,4.0,none,2,real estate,43,none,for free,2,skilled,2,none,yes,0
critical/other existing credit,2022.0,<100,2,4.0,none,4,car,37,none,own,1,skilled,1,yes,yes,1
existing paid,1552.0,<100,5,3.0,none,1,car,32,bank,own,1,skilled,2,none,yes,1
all paid,626.0,<100,2,4.0,none,4,real estate,24,bank,own,1,unskilled resident,1,none,yes,0
critical/other existing credit,8858.0,no known savings,5,2.0,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,1
critical/other existing credit,996.0,no known savings,5,4.0,none,4,real estate,23,none,own,2,skilled,1,none,yes,1
all paid,1750.0,500<=X<1000,7,2.0,none,4,life insurance,45,bank,own,1,unskilled resident,2,none,yes,1
existing paid,6999.0,<100,5,1.0,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,0
critical/other existing credit,1995.0,100<=X<500,0,4.0,none,1,car,27,none,own,1,skilled,1,none,yes,1
existing paid,1199.0,<100,5,4.0,none,4,life insurance,67,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1331.0,<100,0,2.0,none,1,car,22,stores,own,1,skilled,1,none,yes,0
no credits/all paid,2278.0,100<=X<500,0,3.0,none,3,car,28,none,own,2,skilled,1,none,yes,0
no credits/all paid,5003.0,no known savings,2,1.0,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,0
all paid,3552.0,<100,5,3.0,none,4,car,27,bank,own,1,skilled,1,none,yes,0
critical/other existing credit,1928.0,<100,0,2.0,none,2,real estate,31,none,own,2,unskilled resident,1,none,yes,0
existing paid,2964.0,no known savings,7,4.0,none,4,no known property,49,bank,for free,1,skilled,2,yes,yes,1
all paid,1546.0,<100,5,4.0,guarantor,4,car,24,bank,rent,1,unskilled resident,1,none,yes,0
delayed previously,683.0,<100,0,2.0,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,1
existing paid,12389.0,no known savings,2,1.0,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,0
delayed previously,4712.0,no known savings,2,4.0,none,2,life insurance,37,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,1
delayed previously,1553.0,100<=X<500,5,3.0,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,1
existing paid,1372.0,<100,5,2.0,none,3,car,36,none,own,1,skilled,1,none,yes,0
critical/other existing credit,2578.0,>=1000,7,2.0,none,2,car,34,none,own,1,skilled,1,none,yes,1
existing paid,3979.0,no known savings,5,4.0,none,1,car,41,none,own,2,skilled,2,yes,yes,1
existing paid,6758.0,<100,2,3.0,none,2,car,31,none,own,1,skilled,1,yes,yes,0
existing paid,3234.0,<100,0,4.0,none,4,real estate,23,none,rent,1,unskilled resident,1,yes,yes,0
critical/other existing credit,5954.0,<100,5,3.0,co applicant,2,car,38,none,own,1,skilled,1,none,yes,1
existing paid,5433.0,no known savings,0,2.0,none,4,life insurance,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,806.0,<100,2,4.0,none,4,life insurance,22,none,own,1,unskilled resident,1,none,yes,1
existing paid,1082.0,<100,7,4.0,none,4,car,27,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,2788.0,<100,5,2.0,co applicant,3,car,24,bank,own,2,skilled,1,none,yes,1
existing paid,2930.0,<100,5,2.0,none,1,real estate,27,none,own,1,skilled,1,none,yes,1
critical/other existing credit,1927.0,no known savings,2,3.0,none,2,car,33,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,2820.0,<100,0,4.0,none,4,car,27,none,own,2,skilled,1,none,yes,0
existing paid,937.0,<100,0,4.0,none,3,car,27,none,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,1056.0,<100,7,3.0,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,0
critical/other existing credit,3124.0,<100,0,1.0,none,3,real estate,49,bank,own,2,unskilled resident,2,none,yes,1
existing paid,1388.0,<100,2,4.0,none,2,real estate,26,none,rent,1,skilled,1,none,yes,1
existing paid,2384.0,<100,0,4.0,none,1,no known property,33,none,rent,1,unskilled resident,1,none,yes,0
existing paid,2133.0,no known savings,7,4.0,none,4,no known property,52,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,2039.0,<100,2,1.0,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,0
critical/other existing credit,2799.0,<100,2,2.0,none,2,real estate,36,none,rent,2,skilled,2,none,yes,1
existing paid,1289.0,<100,2,4.0,guarantor,1,life insurance,21,none,own,1,unskilled resident,1,none,yes,1
existing paid,1217.0,<100,2,4.0,none,3,real estate,47,none,own,1,unskilled resident,1,yes,yes,0
critical/other existing credit,2246.0,<100,7,3.0,none,3,life insurance,60,none,own,2,skilled,1,none,yes,0
critical/other existing credit,385.0,<100,5,4.0,none,3,real estate,58,none,own,4,unskilled resident,1,yes,yes,1
delayed previously,1965.0,no known savings,2,4.0,none,4,car,42,none,rent,2,skilled,1,yes,yes,1
existing paid,1572.0,>=1000,7,4.0,none,4,real estate,36,bank,own,1,unskilled resident,1,none,yes,1
existing paid,2718.0,<100,2,3.0,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,0
all paid,1358.0,no known savings,7,4.0,none,3,car,40,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,0
all paid,931.0,100<=X<500,0,1.0,none,1,life insurance,32,stores,own,1,unskilled resident,1,none,yes,0
existing paid,1442.0,<100,5,4.0,none,4,car,23,none,rent,2,skilled,1,none,yes,0
no credits/all paid,4241.0,<100,2,1.0,none,4,real estate,36,none,own,3,unskilled resident,1,yes,yes,0
critical/other existing credit,2775.0,<100,5,2.0,none,2,life insurance,31,bank,own,2,skilled,1,none,yes,0
delayed previously,3863.0,<100,2,1.0,none,2,no known property,32,none,for free,1,skilled,1,none,yes,1
existing paid,2329.0,<100,0,1.0,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,1
existing paid,918.0,<100,2,4.0,none,1,life insurance,30,none,own,1,skilled,1,none,yes,0
all paid,1837.0,<100,5,4.0,none,4,no known property,34,bank,for free,1,unskilled resident,1,none,yes,0
existing paid,3349.0,<100,2,4.0,none,2,car,28,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
existing paid,1275.0,<100,0,4.0,none,2,life insurance,23,none,own,1,skilled,1,none,yes,1
all paid,2828.0,500<=X<1000,2,4.0,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,1
critical/other existing credit,4526.0,<100,2,3.0,none,2,real estate,74,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,2671.0,100<=X<500,2,4.0,co applicant,4,no known property,50,none,for free,1,skilled,1,none,yes,0
existing paid,2051.0,<100,0,4.0,none,1,real estate,33,none,own,1,skilled,1,none,yes,1
existing paid,1300.0,no known savings,7,4.0,none,4,no known property,45,bank,for free,1,skilled,2,none,yes,1
existing paid,741.0,100<=X<500,0,4.0,none,3,life insurance,22,none,own,1,skilled,1,none,yes,0
existing paid,1240.0,100<=X<500,7,1.0,none,4,no known property,48,none,for free,1,unskilled resident,2,none,yes,0
existing paid,3357.0,>=1000,0,4.0,none,2,car,29,bank,own,1,skilled,1,none,yes,1
all paid,3632.0,<100,2,1.0,guarantor,4,car,22,bank,rent,1,skilled,1,none,no,1
delayed previously,1808.0,<100,5,4.0,none,1,real estate,22,none,own,1,skilled,1,none,yes,0
no credits/all paid,12204.0,no known savings,2,2.0,none,2,car,48,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,1
delayed previously,9157.0,no known savings,2,2.0,none,2,no known property,27,none,for free,1,high qualif/self emp/mgmt,1,none,yes,1
critical/other existing credit,3676.0,<100,2,1.0,none,3,real estate,37,none,rent,3,skilled,2,none,yes,1
existing paid,3441.0,100<=X<500,2,2.0,co applicant,4,car,21,none,rent,1,skilled,1,none,yes,0
existing paid,640.0,<100,2,4.0,none,2,real estate,49,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,3652.0,<100,5,2.0,none,3,life insurance,27,none,own,2,skilled,1,none,yes,1
critical/other existing credit,1530.0,<100,2,3.0,none,2,life insurance,32,bank,own,2,skilled,1,none,yes,0
existing paid,3914.0,no known savings,2,4.0,none,2,real estate,38,bank,own,1,skilled,1,none,yes,0
existing paid,1858.0,<100,0,4.0,none,1,car,22,none,rent,1,skilled,1,none,yes,1
existing paid,2600.0,<100,2,4.0,none,4,no known property,65,none,for free,2,skilled,1,none,yes,0
existing paid,1979.0,no known savings,7,4.0,none,2,car,35,none,own,1,skilled,1,none,yes,1
existing paid,2116.0,<100,2,2.0,none,2,real estate,41,none,own,1,skilled,1,yes,yes,1
all paid,1437.0,100<=X<500,5,2.0,none,3,no known property,29,none,own,1,skilled,1,none,yes,0
critical/other existing credit,4042.0,500<=X<1000,2,4.0,none,4,real estate,36,none,own,2,skilled,1,yes,yes,1
existing paid,3832.0,no known savings,7,1.0,none,4,real estate,64,none,own,1,unskilled resident,1,none,yes,1
existing paid,3660.0,<100,2,2.0,none,4,car,28,none,own,1,skilled,1,none,yes,1
all paid,1553.0,<100,2,4.0,none,3,car,44,bank,own,1,skilled,1,none,yes,0
existing paid,1444.0,no known savings,0,4.0,none,1,life insurance,23,none,own,1,skilled,1,none,yes,1
existing paid,1980.0,<100,0,2.0,co applicant,2,car,19,none,rent,2,skilled,1,none,yes,0
existing paid,1355.0,<100,0,3.0,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,0
existing paid,1393.0,<100,7,4.0,none,4,life insurance,47,bank,own,3,skilled,2,yes,yes,1
existing paid,1376.0,500<=X<1000,5,4.0,none,1,car,28,none,own,1,skilled,1,none,yes,1
delayed previously,15653.0,<100,5,2.0,none,4,car,21,none,own,2,skilled,1,yes,yes,1
existing paid,1493.0,<100,0,4.0,none,3,car,34,none,own,1,skilled,2,none,yes,1
delayed previously,4370.0,<100,5,3.0,none,2,life insurance,26,bank,own,2,skilled,2,yes,yes,0
existing paid,750.0,<100,0,4.0,none,1,real estate,27,none,own,1,unemp/unskilled non res,1,none,yes,0
existing paid,1308.0,<100,7,4.0,none,4,car,38,none,own,2,unskilled resident,1,none,yes,1
existing paid,4623.0,100<=X<500,2,3.0,none,2,life insurance,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,1851.0,<100,5,4.0,guarantor,2,car,33,none,own,2,skilled,1,yes,yes,1
critical/other existing credit,1880.0,<100,5,4.0,none,1,life insurance,32,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
delayed previously,7980.0,no known savings,0,4.0,none,4,car,27,none,rent,2,skilled,1,yes,yes,0
no credits/all paid,4583.0,<100,2,2.0,guarantor,2,real estate,32,none,own,2,skilled,1,none,yes,1
existing paid,1386.0,500<=X<1000,2,2.0,none,2,life insurance,26,none,own,1,skilled,1,none,yes,0
existing paid,947.0,<100,5,4.0,none,3,no known property,38,bank,for free,1,skilled,2,none,yes,0
existing paid,684.0,<100,2,4.0,none,4,car,40,none,rent,1,unskilled resident,2,none,yes,0
existing paid,7476.0,<100,5,4.0,none,1,no known property,50,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1922.0,<100,2,4.0,none,2,life insurance,37,none,own,1,unskilled resident,1,none,yes,0
existing paid,2303.0,<100,7,4.0,co applicant,1,real estate,45,none,own,1,skilled,1,none,yes,0
delayed previously,8086.0,100<=X<500,7,2.0,none,4,car,42,none,own,4,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,2346.0,<100,5,4.0,none,3,car,35,none,own,2,skilled,1,yes,yes,1
existing paid,3973.0,<100,0,1.0,none,4,no known property,22,none,for free,1,skilled,1,none,yes,1
existing paid,888.0,<100,7,4.0,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,0
existing paid,10222.0,no known savings,5,4.0,none,3,car,37,stores,own,1,skilled,1,yes,yes,1
no credits/all paid,4221.0,<100,2,2.0,none,1,car,28,none,own,2,skilled,1,none,yes,1
critical/other existing credit,6361.0,<100,7,2.0,none,1,no known property,41,none,own,1,skilled,1,yes,yes,1
existing paid,1297.0,<100,2,3.0,none,4,real estate,23,none,rent,1,skilled,1,none,yes,1
existing paid,900.0,no known savings,2,4.0,none,2,car,23,none,own,1,skilled,1,none,yes,0
existing paid,2241.0,<100,7,4.0,none,2,real estate,50,none,own,2,skilled,1,none,yes,1
delayed previously,1050.0,<100,0,4.0,none,1,life insurance,35,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1047.0,<100,2,2.0,none,4,life insurance,50,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,6314.0,<100,0,4.0,co applicant,2,no known property,27,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,1
all paid,3496.0,>=1000,2,4.0,none,2,car,34,stores,own,1,skilled,2,yes,yes,1
all paid,3609.0,<100,2,1.0,none,1,real estate,27,stores,own,1,skilled,1,none,yes,1
critical/other existing credit,4843.0,<100,7,3.0,co applicant,4,life insurance,43,none,rent,2,skilled,1,yes,yes,0
critical/other existing credit,3017.0,<100,7,4.0,none,4,life insurance,47,none,own,1,skilled,1,none,yes,1
critical/other existing credit,4139.0,100<=X<500,2,3.0,none,3,life insurance,27,none,own,2,unskilled resident,1,yes,yes,1
existing paid,5742.0,100<=X<500,5,2.0,none,2,car,31,none,own,2,skilled,1,yes,yes,1
existing paid,10366.0,<100,7,2.0,none,4,life insurance,42,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2080.0,500<=X<1000,2,1.0,none,2,car,24,none,own,1,skilled,1,none,yes,1
delayed previously,2580.0,500<=X<1000,0,4.0,none,2,real estate,41,bank,own,1,unskilled resident,2,none,yes,0
critical/other existing credit,4530.0,<100,5,4.0,none,4,car,26,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,5150.0,<100,7,4.0,none,4,car,33,none,own,1,skilled,1,yes,yes,1
existing paid,5595.0,100<=X<500,2,2.0,none,2,car,24,none,own,1,skilled,1,none,yes,0
existing paid,2384.0,<100,7,4.0,none,4,real estate,64,bank,rent,1,unskilled resident,1,none,yes,1
existing paid,1453.0,<100,0,3.0,none,1,real estate,26,none,own,1,skilled,1,none,yes,1
existing paid,1538.0,<100,0,1.0,none,2,no known property,56,none,own,1,skilled,1,none,yes,1
existing paid,2279.0,no known savings,2,4.0,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,1
delayed previously,1478.0,<100,2,4.0,none,3,real estate,33,bank,own,2,skilled,1,none,yes,1
critical/other existing credit,5103.0,<100,0,3.0,none,3,no known property,47,none,for free,3,skilled,1,yes,yes,1
delayed previously,9857.0,100<=X<500,5,1.0,none,3,life insurance,31,none,own,2,unskilled resident,2,yes,yes,1
existing paid,6527.0,no known savings,2,4.0,none,4,no known property,34,none,for free,1,skilled,2,yes,yes,1
critical/other existing credit,1347.0,no known savings,5,4.0,none,2,life insurance,27,none,own,2,skilled,1,yes,yes,1
delayed previously,2862.0,100<=X<500,7,4.0,none,3,no known property,30,none,for free,1,skilled,1,none,yes,1
existing paid,2753.0,100<=X<500,7,3.0,co applicant,4,car,35,none,own,1,skilled,1,yes,yes,1
existing paid,3651.0,>=1000,2,1.0,none,3,life insurance,31,none,own,1,skilled,2,none,yes,1
critical/other existing credit,975.0,<100,2,2.0,none,3,life insurance,25,none,own,2,skilled,1,none,yes,1
existing paid,2631.0,100<=X<500,2,3.0,none,2,real estate,25,none,own,1,unskilled resident,1,none,yes,1
existing paid,2896.0,100<=X<500,0,2.0,none,1,car,29,none,own,1,skilled,1,none,yes,1
critical/other existing credit,4716.0,no known savings,0,1.0,none,3,real estate,44,none,own,2,unskilled resident,2,none,yes,1
existing paid,2284.0,<100,5,4.0,none,2,car,28,none,own,1,skilled,1,yes,yes,1
existing paid,1236.0,500<=X<1000,2,2.0,none,4,life insurance,50,none,rent,1,skilled,1,none,yes,1
existing paid,1103.0,<100,5,4.0,guarantor,3,real estate,29,none,own,2,skilled,1,none,no,1
critical/other existing credit,926.0,<100,0,1.0,none,2,life insurance,38,none,own,1,unemp/unskilled non res,1,none,yes,1
critical/other existing credit,1800.0,<100,2,4.0,none,2,car,24,none,own,2,skilled,1,none,yes,1
existing paid,1905.0,<100,7,4.0,none,4,car,40,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,1
existing paid,1123.0,500<=X<1000,2,4.0,none,4,car,29,none,rent,1,unskilled resident,1,none,yes,0
critical/other existing credit,6331.0,<100,7,4.0,none,4,no known property,46,none,for free,2,skilled,1,yes,yes,0
existing paid,1377.0,100<=X<500,7,4.0,none,2,no known property,47,none,for free,1,skilled,1,yes,yes,1
delayed previously,2503.0,100<=X<500,7,4.0,none,2,life insurance,41,stores,own,2,skilled,1,none,yes,1
existing paid,2528.0,<100,0,4.0,none,1,life insurance,32,none,own,1,skilled,2,yes,yes,1
existing paid,5324.0,500<=X<1000,7,1.0,none,4,no known property,35,none,for free,1,skilled,1,none,yes,1
existing paid,6560.0,100<=X<500,5,3.0,none,2,life insurance,24,none,own,1,skilled,1,none,yes,0
no credits/all paid,2969.0,<100,0,4.0,none,3,life insurance,25,none,rent,2,skilled,1,none,yes,0
existing paid,1206.0,<100,7,4.0,none,4,real estate,25,none,own,1,skilled,1,none,yes,1
existing paid,2118.0,<100,2,2.0,none,2,real estate,37,none,own,1,unskilled resident,2,none,yes,1
critical/other existing credit,629.0,500<=X<1000,7,4.0,none,3,life insurance,32,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,1
all paid,1198.0,<100,7,4.0,none,4,no known property,35,none,for free,1,skilled,1,none,yes,0
existing paid,2476.0,no known savings,7,4.0,none,4,real estate,46,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1138.0,<100,2,4.0,none,4,real estate,25,none,own,2,unskilled resident,1,none,yes,1
existing paid,14027.0,<100,5,4.0,none,2,no known property,27,none,own,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,7596.0,no known savings,7,1.0,none,4,car,63,none,own,2,skilled,1,none,yes,1
critical/other existing credit,3077.0,no known savings,7,3.0,none,2,car,40,none,own,2,skilled,2,yes,yes,1
existing paid,1505.0,<100,2,4.0,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,3148.0,no known savings,2,3.0,none,2,car,31,none,own,2,skilled,1,yes,yes,1
no credits/all paid,6148.0,100<=X<500,7,3.0,none,4,car,31,bank,own,2,skilled,1,yes,yes,1
no credits/all paid,1337.0,<100,0,4.0,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0
all paid,433.0,>=1000,0,4.0,none,2,life insurance,24,bank,rent,1,skilled,2,none,yes,0
existing paid,1228.0,<100,2,4.0,none,2,real estate,24,none,own,1,unskilled resident,1,none,yes,0
existing paid,790.0,500<=X<1000,2,4.0,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,1
existing paid,2570.0,<100,2,3.0,none,3,real estate,21,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,250.0,>=1000,2,2.0,none,2,real estate,41,bank,own,2,unskilled resident,1,none,yes,1
critical/other existing credit,1316.0,500<=X<1000,2,2.0,none,2,life insurance,47,none,own,2,unskilled resident,1,none,yes,1
existing paid,1882.0,<100,2,4.0,none,4,car,25,bank,rent,2,skilled,1,none,yes,0
all paid,6416.0,<100,7,4.0,none,3,no known property,59,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,1275.0,>=1000,2,2.0,none,4,real estate,36,none,own,2,skilled,1,yes,yes,1
delayed previously,6403.0,<100,0,1.0,none,2,car,33,none,own,1,skilled,1,none,yes,1
existing paid,1987.0,<100,2,2.0,none,4,real estate,21,none,rent,1,unskilled resident,2,none,yes,0
existing paid,760.0,<100,5,4.0,guarantor,2,real estate,44,none,own,1,unskilled resident,1,none,yes,1
existing paid,2603.0,>=1000,2,2.0,none,4,car,28,none,rent,1,skilled,1,yes,yes,1
critical/other existing credit,3380.0,<100,5,1.0,none,1,real estate,37,none,own,1,skilled,2,none,yes,1
all paid,3990.0,no known savings,0,3.0,none,2,no known property,29,bank,own,1,unemp/unskilled non res,1,none,yes,1
existing paid,11560.0,<100,2,1.0,none,4,car,23,none,rent,2,high qualif/self emp/mgmt,1,none,yes,0
existing paid,4380.0,100<=X<500,2,3.0,none,4,car,35,none,own,1,unskilled resident,2,yes,yes,1
critical/other existing credit,6761.0,<100,5,1.0,none,3,no known property,45,none,own,2,high qualif/self emp/mgmt,2,yes,yes,1
no credits/all paid,4280.0,100<=X<500,2,4.0,none,4,car,26,none,rent,2,unskilled resident,1,none,yes,0
all paid,2325.0,100<=X<500,5,2.0,none,3,car,32,bank,own,1,skilled,1,none,yes,1
all paid,1048.0,<100,2,4.0,none,4,real estate,23,stores,own,1,unskilled resident,1,none,yes,1
existing paid,3160.0,no known savings,7,4.0,none,3,life insurance,41,none,own,1,skilled,1,yes,yes,1
all paid,2483.0,500<=X<1000,2,4.0,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,1
critical/other existing credit,14179.0,no known savings,5,4.0,none,4,life insurance,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,1797.0,<100,0,3.0,none,1,life insurance,28,bank,own,2,unskilled resident,1,none,yes,1
existing paid,2511.0,<100,0,1.0,none,4,car,23,none,rent,1,skilled,1,none,yes,1
existing paid,1274.0,<100,0,3.0,none,1,real estate,37,none,own,1,unskilled resident,1,none,yes,0
existing paid,5248.0,no known savings,2,1.0,none,3,car,26,none,own,1,skilled,1,none,yes,1
existing paid,3029.0,<100,5,2.0,none,2,car,33,none,own,1,skilled,1,none,yes,1
existing paid,428.0,<100,7,2.0,none,1,life insurance,49,bank,own,1,skilled,1,yes,yes,1
existing paid,976.0,<100,0,1.0,none,2,car,23,none,own,1,unskilled resident,1,none,yes,0
existing paid,841.0,100<=X<500,5,2.0,none,4,real estate,23,none,rent,1,unskilled resident,1,none,yes,1
critical/other existing credit,5771.0,<100,5,4.0,none,2,car,25,none,own,2,skilled,1,none,yes,1
delayed previously,1555.0,>=1000,7,4.0,none,4,no known property,55,none,for free,2,skilled,2,none,yes,0
existing paid,1285.0,no known savings,5,4.0,none,4,no known property,32,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,1299.0,<100,2,1.0,none,1,real estate,74,none,own,3,unemp/unskilled non res,2,none,no,1
critical/other existing credit,1271.0,no known savings,2,3.0,none,4,no known property,39,none,for free,2,skilled,1,yes,yes,0
existing paid,1393.0,<100,2,2.0,guarantor,2,real estate,31,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,691.0,<100,7,4.0,none,3,life insurance,35,none,own,2,skilled,1,none,yes,0
critical/other existing credit,5045.0,no known savings,7,1.0,none,4,car,59,none,own,1,skilled,1,yes,yes,1
critical/other existing credit,2124.0,<100,2,4.0,none,4,real estate,24,none,rent,2,skilled,1,none,yes,0
existing paid,2214.0,<100,2,4.0,none,3,life insurance,24,none,own,1,unskilled resident,1,none,yes,1
critical/other existing credit,12680.0,no known savings,7,4.0,none,4,no known property,30,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,2463.0,100<=X<500,5,4.0,none,3,life insurance,27,none,own,2,skilled,1,yes,yes,1
existing paid,1155.0,<100,7,3.0,guarantor,3,real estate,40,bank,own,2,unskilled resident,1,none,yes,1
existing paid,3108.0,<100,0,2.0,none,4,life insurance,31,none,own,1,unskilled resident,1,none,yes,0
existing paid,2901.0,no known savings,0,1.0,none,4,real estate,31,none,rent,1,skilled,1,none,yes,1
critical/other existing credit,3617.0,<100,7,1.0,none,4,car,28,none,rent,3,skilled,1,yes,yes,1
critical/other existing credit,1655.0,<100,7,2.0,none,4,real estate,63,none,own,2,unskilled resident,1,yes,yes,1
existing paid,2812.0,no known savings,7,2.0,none,4,real estate,26,none,rent,1,skilled,1,none,yes,1
critical/other existing credit,8065.0,<100,2,3.0,none,2,no known property,25,none,own,2,high qualif/self emp/mgmt,1,yes,yes,0
critical/other existing credit,3275.0,<100,7,1.0,none,4,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,1
critical/other existing credit,2223.0,100<=X<500,7,4.0,none,4,life insurance,52,bank,own,2,skilled,1,none,yes,1
critical/other existing credit,1480.0,500<=X<1000,0,2.0,none,4,no known property,66,bank,for free,3,unemp/unskilled non res,1,none,yes,1
existing paid,1371.0,no known savings,2,4.0,none,4,real estate,25,none,rent,1,skilled,1,none,yes,0
critical/other existing credit,3535.0,<100,5,4.0,none,4,car,37,none,own,2,skilled,1,yes,yes,1
existing paid,3509.0,<100,5,4.0,guarantor,1,real estate,25,none,own,1,skilled,1,none,yes,1
critical/other existing credit,5711.0,>=1000,7,4.0,none,2,car,38,none,own,2,high qualif/self emp/mgmt,1,yes,yes,1
